id_participant,timestamp,This app is easy to use.,How often do you wear your watch in a week?,The notifications on the watch were annoying.,The notifications on the phone were annoying.,I answered the the question on the watch honestly.,The Cozie app feels fast and responsive.,The notifications helped to change my mind.,I changed my location after seeing the notifications.,"Overall, how satisfied are you with the Cozie app?",How would you rate the overall quality of the app?,How likely are you to recommend this app to a friend or colleague?,The noise and/or temperature intervention messages were helpful to me in understanding how to improve my indoor environmental satisfaction.,"Over the past week, I changed my location after receiving the noise intervention messages. ","Over the past week, I put on my earphones to mitigate noise distractions after receiving the noise intervention messages.","Over the past week, I changed my location, adjusted the thermostat, fan etc. to feel thermally comfortable after receiving the temperature intervention messages.",The intervention messages were annoying.
orenth35,2022-12-24 04:09:00.766000+00:00,Disgree,30-40 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Sometimes,Never,Never,Disgree
orenth35,2022-12-28 01:04:26.796000+00:00,Agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Seldom,Seldom,No intervention messages received,Disgree
orenth35,2023-01-02 10:16:08.905000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Sometimes,Sometimes,Seldom,Strongly disagree
orenth36,2022-12-07 14:31:35.769000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Extremely likely,Strongly agree,Sometimes,Always,Often,Neutral
orenth36,2022-12-07 14:33:43.050000+00:00,Strongly agree,>50 hours,,,,Agree,,,Extremly satisfied,Excellent,Extremely likely,Agree,Seldom,Seldom,Often,Agree
orenth37,2022-12-06 01:51:33.558000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth37,2022-12-14 07:00:56.247000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth37,2022-12-19 01:18:41.684000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Good,Neutral,Neutral,No intervention messages received,No intervention messages received,Never,Disgree
orenth38,2022-11-30 06:27:47.071000+00:00,Agree,>50 hours,,,,Neutral,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth38,2022-12-03 01:12:35.884000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth38,2022-12-06 02:09:11.900000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth38,2022-12-09 03:45:13.186000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Neutral,Never,Never,Never,Strongly disagree
orenth38,2022-12-16 01:00:52.971000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth38,2022-12-24 01:20:49.611000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth39,2022-12-06 03:24:15.559000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth39,2022-12-20 05:14:42.192000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth40,2022-12-15 18:59:59.261000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,Neutral
orenth40,2022-12-23 09:01:35.623000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Agree,Seldom,Seldom,Never,Neutral
orenth40,2022-12-30 09:07:04.855000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Agree,Never,Never,Never,Neutral
orenth41,2022-12-04 05:25:24.061000+00:00,Strongly agree,>50 hours,,,,Strongly agree,,,Very satisfied,Excellent,Likely,Strongly agree,Sometimes,Seldom,Sometimes,Disgree
orenth41,2022-12-09 02:45:52.110000+00:00,Strongly agree,>50 hours,,,,Strongly agree,,,Very satisfied,Excellent,Likely,Strongly agree,Sometimes,Seldom,Sometimes,Disgree
orenth41,2022-12-16 04:44:49.399000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth42,2022-12-09 01:03:57.328000+00:00,Neutral,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,Neutral,Seldom,Sometimes,Seldom,Neutral
orenth42,2022-12-16 02:56:48.773000+00:00,Neutral,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Agree,Never,Seldom,Seldom,Neutral
orenth42,2022-12-26 00:16:45.783000+00:00,Neutral,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Seldom,Sometimes,Seldom,Neutral
orenth42,2022-12-30 03:14:25.088000+00:00,Neutral,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Neutral
orenth42,2023-01-06 04:43:18.567000+00:00,Neutral,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Neutral
orenth42,2023-01-11 01:05:24.459000+00:00,Neutral,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Neutral
orenth42,2023-01-17 04:04:15.692000+00:00,Neutral,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Neutral
orenth43,2022-12-07 04:01:45.217000+00:00,Strongly agree,40-50 hours,,,,Strongly agree,,,Extremly satisfied,Good,Likely,Agree,Never,Sometimes,Never,Disgree
orenth43,2022-12-14 03:20:33.169000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Very satisfied,Good,Likely,Agree,Never,Sometimes,Never,Disgree
orenth44,2022-12-13 06:24:58.926000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Often,Seldom,Often,Disgree
orenth44,2022-12-22 04:01:16.757000+00:00,Strongly agree,20-30 hours,,,,Neutral,,,Very satisfied,Good,Likely,Strongly agree,Sometimes,Seldom,Often,Disgree
orenth44,2022-12-28 12:15:22.769000+00:00,Agree,20-30 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Strongly agree,Often,Sometimes,Often,Disgree
orenth44,2023-01-04 01:04:57.358000+00:00,Agree,10-20 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Likely,Strongly agree,Sometimes,Seldom,Sometimes,Disgree
orenth44,2023-01-11 15:54:44.729000+00:00,Agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Always,Sometimes,Often,Disgree
orenth45,2022-12-10 07:01:09.062000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth45,2022-12-16 01:20:43.024000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth45,2022-12-21 01:24:45.376000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth46,2022-12-07 13:28:02.430000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth46,2022-12-16 03:43:53.762000+00:00,Strongly agree,>50 hours,,,,Agree,,,Extremly satisfied,Excellent,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth48,2022-12-14 01:20:45.779000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth48,2022-12-26 10:20:03.345000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth48,2023-01-01 03:33:15.429000+00:00,Neutral,>50 hours,,,,Neutral,,,Not so satisfied,Fair,Neutral,Neutral,Never,Never,Never,Disgree
orenth48,2023-01-27 01:02:01.094000+00:00,Neutral,>50 hours,,,,Neutral,,,Not so satisfied,Fair,Neutral,Neutral,Never,Never,Never,Neutral
orenth48,2023-02-01 07:37:14.442000+00:00,Neutral,>50 hours,,,,Neutral,,,Not so satisfied,Fair,Neutral,Neutral,Never,Never,Never,Neutral
orenth49,2023-01-03 09:48:50.190000+00:00,Strongly agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth49,2023-01-09 00:20:20.605000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth49,2023-01-11 11:58:17.181000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth49,2023-01-19 02:30:24.576000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth50,2022-12-24 04:38:24.868000+00:00,Agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth50,2023-01-06 07:21:56.340000+00:00,Agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,Agree,Sometimes,Never,Sometimes,Neutral
orenth50,2023-01-11 02:18:13.076000+00:00,Agree,40-50 hours,,,,Strongly agree,,,Very satisfied,Good,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
usk01,2023-04-01 14:14:05.420000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Neutral,Seldom,Sometimes,No intervention messages received,Neutral
usk01,2023-04-08 05:26:33.945000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Neutral,Never,Seldom,Never,Neutral
usk01,2023-04-12 03:44:24.593000+00:00,Neutral,>50 hours,,,,Agree,,,Not so satisfied,Fair,Unlikely,Neutral,Seldom,Sometimes,Sometimes,Agree
usk01,2023-04-23 16:47:21.897000+00:00,Neutral,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Unlikely,Neutral,Seldom,Sometimes,Sometimes,Strongly agree
usk02,2023-04-02 08:51:33.496000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Very satisfied,Excellent,Extremely likely,Neutral,Never,Never,Never,Neutral
usk02,2023-04-08 05:30:35.074000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Very satisfied,Excellent,Likely,Neutral,Never,Never,Never,Neutral
usk02,2023-04-13 01:36:02.860000+00:00,Agree,20-30 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Never,Never,Never,Neutral
usk03,2023-04-04 06:09:56.387000+00:00,Strongly agree,10-20 hours,,,,Strongly agree,,,Somewhat satisfied,Good,Likely,Disagree,Never,Seldom,Sometimes,Disgree
usk03,2023-04-07 06:14:24.102000+00:00,Agree,10-20 hours,,,,Strongly agree,,,Very satisfied,Good,Neutral,Disagree,Never,Often,Never,Agree
usk03,2023-04-14 14:24:50.825000+00:00,Agree,10-20 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Disagree,Never,Never,Never,Neutral
usk03,2023-04-19 15:44:23.394000+00:00,Strongly agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Seldom,Sometimes,Seldom,Neutral
usk03,2023-04-21 10:23:07.011000+00:00,Agree,10-20 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Seldom,No intervention messages received,Seldom,Neutral
usk03,2023-04-26 01:04:27.139000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Seldom,No intervention messages received,Sometimes,Disgree
usk03,2023-04-28 08:55:42.877000+00:00,Agree,40-50 hours,,,,Strongly agree,,,Very satisfied,Good,Neutral,Disagree,No intervention messages received,No intervention messages received,Seldom,Agree
usk04,2023-03-30 07:01:50.909000+00:00,Neutral,30-40 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Disagree,Never,Never,Never,Disgree
usk04,2023-04-08 05:25:27.453000+00:00,Agree,30-40 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Disagree,Never,Never,Never,Disgree
usk04,2023-04-10 10:59:30.898000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,Disagree,Never,Never,Never,Disgree
usk04,2023-04-17 01:52:05.089000+00:00,Agree,20-30 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,Disagree,Never,Never,Never,Neutral
usk04,2023-04-21 05:47:40.294000+00:00,Neutral,10-20 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Disagree,Never,Never,Never,Disgree
usk05,2023-03-29 02:11:15.884000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Unlikely,Agree,Never,No intervention messages received,Never,Neutral
usk05,2023-04-04 06:36:38.946000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Never,No intervention messages received,Never,Neutral
usk05,2023-04-05 03:20:10.066000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Neutral,Never,No intervention messages received,Never,Neutral
usk05,2023-04-12 10:26:39.666000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Never,No intervention messages received,Never,Disgree
usk05,2023-04-19 06:37:54.722000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,No intervention messages received,Never,Neutral
usk06,2023-04-03 02:41:23.660000+00:00,Agree,40-50 hours,,,,Strongly agree,,,Very satisfied,Excellent,Likely,Strongly agree,Sometimes,Seldom,Often,Disgree
usk06,2023-04-08 05:30:02.909000+00:00,Strongly agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Strongly agree,Sometimes,Seldom,Often,Agree
usk06,2023-04-13 05:12:36.847000+00:00,Agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Sometimes,Sometimes,Often,Agree
usk07,2023-04-07 01:19:11.119000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Somewhat satisfied,Good,Likely,Neutral,No intervention messages received,Never,Sometimes,Agree
usk07,2023-04-08 07:39:02.827000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Somewhat satisfied,Good,Likely,Neutral,Never,Never,No intervention messages received,Neutral
usk07,2023-04-15 04:31:21.363000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Very satisfied,Good,Likely,Disagree,Never,Never,Never,Neutral
usk07,2023-04-21 06:31:36.622000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Very satisfied,Good,Likely,Neutral,Never,Never,Never,Neutral
usk07,2023-04-29 04:39:42.529000+00:00,Strongly agree,20-30 hours,,,,Strongly agree,,,Very satisfied,Excellent,Likely,Disagree,Never,Never,Sometimes,Strongly disagree
usk07,2023-05-05 05:15:44.638000+00:00,Agree,30-40 hours,,,,Strongly agree,,,Very satisfied,Good,Extremely likely,Agree,Never,Sometimes,Sometimes,Disgree
usk07,2023-05-10 21:16:37.208000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Very satisfied,Good,Likely,Neutral,Never,Never,Sometimes,Disgree
usk08,2023-04-05 13:53:00.176000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Disagree,Never,Seldom,Seldom,Neutral
usk08,2023-04-08 05:58:52.498000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Disagree,Never,Seldom,Never,Agree
usk08,2023-04-15 10:49:37.657000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Disagree,Seldom,Never,Never,Agree
usk08,2023-04-20 10:01:14.169000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Strongly disagree,Never,Never,Never,Neutral
usk08,2023-04-26 07:19:07.396000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Disagree,Never,Never,Never,Neutral
usk08,2023-05-02 06:01:33.716000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Disagree,Never,Never,Never,Neutral
usk08,2023-05-07 06:51:48.729000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Disagree,Never,Never,Never,Neutral
usk09,2023-03-29 01:05:05.332000+00:00,Neutral,30-40 hours,,,,Disgree,,,Somewhat satisfied,Fair,Unlikely,Agree,Never,Never,Seldom,Neutral
usk09,2023-04-07 02:09:57.872000+00:00,Agree,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Unlikely,Disagree,Never,Often,Seldom,Neutral
usk09,2023-04-13 12:47:09.061000+00:00,Neutral,30-40 hours,,,,Disgree,,,Not so satisfied,Good,Neutral,Agree,Seldom,Never,Seldom,Neutral
usk09,2023-04-21 08:38:51.886000+00:00,Agree,40-50 hours,,,,Disgree,,,Somewhat satisfied,Fair,Neutral,Neutral,Seldom,Often,Often,Neutral
usk09,2023-04-29 04:38:29.166000+00:00,Neutral,30-40 hours,,,,Disgree,,,Somewhat satisfied,Good,Neutral,Neutral,Never,Sometimes,Seldom,Neutral
usk09,2023-05-07 02:08:04.712000+00:00,Neutral,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Never,Seldom,Sometimes,Disgree
usk10,2023-04-08 05:19:01.979000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Neutral,Never,Never,Never,Agree
usk10,2023-04-12 10:04:07.671000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Neutral,Never,Never,Seldom,Agree
usk10,2023-04-19 01:04:11.534000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Neutral,Seldom,Never,Seldom,Agree
usk10,2023-04-24 09:00:27.047000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Good,Unlikely,Disagree,Never,Never,Never,Agree
usk10,2023-05-03 09:00:37.411000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Strongly disagree,Sometimes,Never,Never,Agree
usk10,2023-05-09 02:24:16.955000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Disagree,Seldom,Never,Never,Agree
usk10,2023-05-11 05:05:05.758000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Likely,Disagree,Never,Never,Never,Agree
usk10,2023-05-13 04:50:38.993000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Fair,Neutral,Disagree,Never,Never,Seldom,Neutral
usk10,2023-05-17 01:01:05.343000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Strongly disagree,Never,Never,Never,Agree
usk11,2023-04-08 06:04:23.216000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Fair,Likely,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
usk11,2023-04-17 06:01:08.873000+00:00,Agree,10-20 hours,,,,Neutral,,,Very satisfied,Fair,Likely,Neutral,No intervention messages received,No intervention messages received,Seldom,Neutral
usk11,2023-04-22 06:54:25.458000+00:00,Agree,10-20 hours,,,,Neutral,,,Somewhat satisfied,Fair,Likely,Agree,Sometimes,Seldom,Seldom,Disgree
usk11,2023-04-29 10:50:35.654000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Often,Seldom,Disgree
usk13,2023-04-06 00:54:41.542000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Neutral,Sometimes,Never,Never,Neutral
usk13,2023-04-14 04:05:05.109000+00:00,Agree,10-20 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Neutral,Never,Never,Never,Neutral
usk13,2023-04-18 11:01:48.545000+00:00,Agree,10-20 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Neutral,Never,Never,Never,Neutral
usk14,2023-04-05 01:06:55.437000+00:00,Strongly agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Agree,Seldom,Seldom,Seldom,Disgree
usk14,2023-04-13 08:07:53.549000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Seldom,Sometimes,Sometimes,Disgree
usk15,2023-04-05 06:05:47.470000+00:00,Strongly agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,No intervention messages received,No intervention messages received,Never,Disgree
usk15,2023-04-13 08:03:13.495000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Likely,Agree,No intervention messages received,No intervention messages received,Sometimes,Disgree
usk15,2023-04-24 14:03:33.021000+00:00,Agree,10-20 hours,,,,Neutral,,,Somewhat satisfied,Good,Likely,Agree,Sometimes,Never,Always,Agree
usk15,2023-04-30 13:50:59.970000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
usk15,2023-05-03 02:17:07.406000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
usk15,2023-05-07 07:54:09.004000+00:00,Agree,20-30 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Seldom,Sometimes,Sometimes,Agree
usk15,2023-05-14 09:19:49.232000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Sometimes,Always,Neutral
usk15,2023-05-16 10:02:35.240000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
usk16,2023-04-13 04:59:26.041000+00:00,Agree,>50 hours,,,,Strongly agree,,,Extremly satisfied,Good,Likely,Neutral,Seldom,Sometimes,Seldom,Neutral
usk16,2023-04-15 00:47:07.743000+00:00,Strongly agree,>50 hours,,,,Strongly agree,,,Very satisfied,Excellent,Extremely likely,Neutral,Seldom,Seldom,Seldom,Neutral
usk16,2023-04-22 07:20:51.113000+00:00,Agree,>50 hours,,,,Strongly agree,,,Somewhat satisfied,Good,Neutral,Disagree,Seldom,Sometimes,Seldom,Agree
usk17,2023-04-15 03:31:55.782000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Never,Never,Disgree
usk17,2023-04-22 07:21:06.535000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
usk17,2023-04-30 01:26:38.091000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
usk18,2023-04-15 08:44:48.207000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,Agree,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
usk18,2023-04-22 15:24:45.874000+00:00,Agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Fair,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
usk18,2023-04-30 05:34:18.699000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
usk18,2023-05-06 13:05:52.608000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
usk19,2023-04-15 05:09:03.365000+00:00,Strongly agree,30-40 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Neutral,Never,No intervention messages received,Never,Disgree
usk19,2023-04-24 10:23:51.807000+00:00,Agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Seldom,No intervention messages received,Seldom,Neutral
usk19,2023-04-30 13:26:02.379000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Never,Never,Disgree
usk19,2023-05-07 14:58:41.406000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Never,Never,Neutral
usk19,2023-05-12 07:10:21.749000+00:00,Agree,20-30 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Never,Never,Never,Disgree
usk19,2023-05-19 15:22:46.152000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Never,Never,Neutral
usk19,2023-05-25 08:00:26.604000+00:00,Agree,<10 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Never,Never,Sometimes,Neutral
usk20,2023-04-14 10:02:50.630000+00:00,Neutral,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,Neutral,Never,Seldom,Never,Agree
usk20,2023-04-17 09:11:25.220000+00:00,Agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Neutral,Never,Sometimes,Never,Neutral
usk20,2023-04-19 01:44:49.998000+00:00,Agree,>50 hours,,,,Agree,,,Not so satisfied,Fair,Neutral,Agree,Never,Seldom,Never,Neutral
usk20,2023-04-25 02:22:15.566000+00:00,Agree,>50 hours,,,,Disgree,,,Somewhat satisfied,Fair,Neutral,Neutral,Seldom,Seldom,Seldom,Neutral
usk20,2023-04-28 03:10:20.058000+00:00,Neutral,>50 hours,,,,Disgree,,,Somewhat satisfied,Fair,Neutral,Agree,Never,Seldom,Never,Neutral
usk21,2023-04-15 09:19:39.957000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Good,Neutral,Disagree,Never,Never,Never,Agree
usk21,2023-04-21 12:00:54.696000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Good,Unlikely,Disagree,Never,Never,Never,Agree
usk21,2023-05-13 10:33:50.221000+00:00,Agree,40-50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Unlikely,Agree,Never,Never,Never,Agree
usk22,2023-04-13 05:01:08.860000+00:00,Neutral,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Strongly agree,Sometimes,Always,Often,Agree
usk22,2023-04-22 06:47:27.526000+00:00,Strongly agree,>50 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Extremely likely,Strongly agree,Sometimes,Always,Often,Agree
usk22,2023-04-30 06:33:17.581000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Strongly agree,Seldom,Always,Often,Agree
usk23,2023-04-15 04:27:36.444000+00:00,Strongly agree,20-30 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Likely,Strongly agree,No intervention messages received,No intervention messages received,Often,Disgree
